Datum;BIEL-BENKEN - Niederschlag (mm oder Liter/m2);AESCH-BL - Niederschlag (mm oder Liter/m2);WALLBACH - Niederschlag (mm oder Liter/m2);FRICK - Niederschlag (mm oder Liter/m2);OBERFLACHS - Niederschlag (mm oder Liter/m2);GRAENICHEN - Niederschlag (mm oder Liter/m2);SEENGEN - Niederschlag (mm oder Liter/m2);BIRMENSTORF - Niederschlag (mm oder Liter/m2);LEUGGERN - Niederschlag (mm oder Liter/m2);TEGERFELDEN - Niederschlag (mm oder Liter/m2);ENDINGEN - Niederschlag (mm oder Liter/m2);KUENTEN - Niederschlag (mm oder Liter/m2);STEINMAUR - Niederschlag (mm oder Liter/m2);WIL-SG - Niederschlag (mm oder Liter/m2);WIL-ZH - Niederschlag (mm oder Liter/m2);HALLAU - Niederschlag (mm oder Liter/m2);UHWIESEN - Niederschlag (mm oder Liter/m2);LINDAU - Niederschlag (mm oder Liter/m2);LIEBENSBERG - Niederschlag (mm oder Liter/m2);UESSLINGEN - Niederschlag (mm oder Liter/m2);MAMMERN - Niederschlag (mm oder Liter/m2);DETTIGHOFEN - Niederschlag (mm oder Liter/m2);THUNDORF - Niederschlag (mm oder Liter/m2);WEINFELDEN - Niederschlag (mm oder Liter/m2)
12.08.2017;0;0.4;0;4;1.8;3.7;6.6;4.7;2.8;1.3;2;4.8;0.8;1.2;3.2;3.2;2;1;1.8;2.7;0;43;1;3
13.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.08.2017;2.2;4.4;6.8;4.4;5.6;0;5.4;6;3.4;5.3;7;0.1;24;5.5;6;6;12.2;1.4;4;18;15.5;7.7;5.7;12
16.08.2017;26.2;7.4;4;9.2;1.4;6.4;0;1.4;2.4;1.4;1.6;5.5;0.8;1;1;1;1.2;1;0.2;0.9;0.7;1.6;0.4;0.6
17.08.2017;0.2;0;0;0;0;0;0;0.2;0;0.1;0.2;0.4;0;0;0.4;0.4;0.4;0.4;0;0;0;0;0;0
18.08.2017;11;4.8;7.2;2.6;5.2;6.7;6.2;2.2;1.6;1.2;0.6;4.3;1.6;6.6;12.8;12.8;0.6;8.8;9.4;6.6;4.3;4.8;8.3;5.6
19.08.2017;0;0;0;0;0;0.9;0;0;0;0;0;2;0;0.5;0;0;0;0;0;0;0;0;0;0
20.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2017;0;0.4;0;1.2;9.8;4.1;1.4;11.2;0.6;0.4;2.6;17.7;5.2;7.2;0;0;0.6;6;3.4;0.6;0.3;0.3;2.3;1.6
25.08.2017;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0.2;0.2;0.6;0;0.2;0.3;0.1;0.1;0.1;0.2
26.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.08.2017;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;0
28.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;5.4;5.4;0;0;0;0;0.1;0.1;0;0
29.08.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.08.2017;0.2;1;3.8;5;4.6;14.8;5.4;10.4;4;9.3;11;11.4;9;1.4;9.4;9.4;8.6;6;3.4;6.6;5.8;5.1;0.9;2.6
31.08.2017;4.8;4.2;7;10;14.4;16.8;22.6;22;16.2;19;0;17.4;13.6;63.1;18.2;18.2;12.4;26.6;22.4;30.9;80.6;13;21.3;61.4
01.09.2017;0.4;0.6;9.8;12.4;27.4;27.2;34.8;35.4;21.2;24.3;17;36.8;23.6;44.4;15;15;31.6;19.6;25.6;40.5;40.1;20.6;36.6;41.8
02.09.2017;2.2;11.2;21.6;4.2;4.8;5.8;5.2;1.4;1.4;1.9;1.4;1.9;11.2;7.5;1;1;11;5.8;5.6;5.4;12.2;10.2;0.9;3.8
03.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;1;0;0;0;0;0.1;0.3;0
04.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;0.2;0.2;0.2;0;0;0;0.8;1.5;0.9;1.2
05.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0
06.09.2017;0.8;2.2;0.2;2.8;1.2;0;0;0.6;1.6;0.8;1;0;1.6;2;0;0;0.2;2;0.8;0.9;0.5;1.2;0.3;1
07.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.09.2017;1.2;5.2;17.8;4;6.2;3.8;4.6;5.2;7.4;6.1;6.6;6;10.2;7.9;22.2;22.2;10.4;11.6;12;12;15.3;8.5;8.9;8.2
10.09.2017;2;0.2;0;1.4;0.8;0;0.2;0.6;3.6;1.7;2.4;0.8;2.2;8.4;0;0;2.8;5.2;6;6.9;9.1;9.2;8.5;8
11.09.2017;0;0.6;0;0;0.6;1.9;0;0.8;0;0;0.6;1;0.6;1.5;0;0;0;0;0.4;0;0.1;0;0;0.2
12.09.2017;1.6;2.6;5.4;3.6;2.4;5.3;11.8;1;2.2;1.6;0.6;2.7;1.2;4.6;0.8;0.8;1.2;9.6;6.6;5.4;1.2;1.8;5;2.8
13.09.2017;0.4;0.2;4.8;1.2;0;0.6;0.2;0;2.2;0.8;1;0.1;0.2;2.6;3;3;0.6;1;0.4;0.3;0.3;10;0.7;0.2
14.09.2017;4.4;7.8;1;7;7;7;7.2;5;8.8;7.2;7.8;5.4;7;13.3;16.4;16.4;5.4;8.6;8.6;5.1;2.7;9.9;7.2;15.2
15.09.2017;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0.2;1;0;0;0;0;0;0;0
16.09.2017;2.8;2.4;2.4;0.4;0.6;4.1;3.4;5.6;0.2;0.1;0;2.7;2.2;3.9;0;0;8.2;1.2;1.6;1.8;1;2;1.8;3
17.09.2017;9.8;7;7;6.2;24.6;15.6;22.4;20;8.6;6.1;9.6;16.2;14;10;6;6;7;17.6;9.8;9.9;6.9;10.4;4.7;5.8
18.09.2017;0.2;0.2;0;0.4;0.8;3.7;0;1.6;0.4;0.3;0.2;7.9;2.4;0.9;0.8;0.8;1.2;1.6;4;3.3;0.6;5.2;2.8;3.8
19.09.2017;3.8;7.4;5.4;2.2;1.2;3.8;4;9.4;8.6;11.5;18.2;3.2;4.2;4;4.4;4.4;6.4;6.6;14.4;18.9;6.5;6.9;6.5;4.4
20.09.2017;0;0.2;0;0;0;0.1;0.2;0;0;0.1;0.2;1;0.2;0;0.2;0.2;1;0;0;0.3;0;0;0.1;0
21.09.2017;0.2;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.2;0;0;0;0;0;0
22.09.2017;0;0;0;0;0;0;0;0;0;0;0;5.2;0;0;0;0;0.2;0;0;0;0;0;0;0
23.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
24.09.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;1.7;0;3.8
25.09.2017;0;0;0.2;0;0;3.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0
26.09.2017;1.4;1.4;0.2;0;1.4;0.6;0.8;0.6;0;0;;1;0;0.3;0;0;0.2;0.4;0.4;0.6;0.5;0.3;0.3;0
27.09.2017;0;0;0;0;0;0.7;0.7;0.2;0;0;;1.9;0;0.4;0;0;0;0.6;0.8;0;0.2;1.4;1.1;1.2
28.09.2017;0;0;0;0;0.2;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0.1;0;0;0
29.09.2017;0;0;0;0.2;0.6;0.5;0.5;2;2.8;;;1.2;1.6;2.3;2;2;0.8;2.6;1;1.5;1.4;1.9;1.4;1.6
30.09.2017;1;1;2.8;2;4.8;5.2;5.2;5.4;3.6;;;6;4.4;12.5;7.4;7.4;6.2;11;8.2;6.3;8;8.5;5.7;7.2
01.10.2017;0;0;0.2;0;0;0.5;0.5;0.6;0;;;0.8;0;0.6;0;0;0.8;0.2;0;0.3;0.1;0.2;0.2;0.6
02.10.2017;0.2;0.2;0.4;0.6;0.8;0.8;0.8;0.2;0.6;;;0.1;0.2;0.3;0.4;0.4;0;0.2;0.2;0;0.2;0;0;0
03.10.2017;13.2;14.2;10.4;10;12.8;10.6;6.6;13.8;11.2;;;12.9;16.8;17.9;16;16;12.8;13;15.8;7.5;14.3;17.1;16.4;16.2
04.10.2017;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0
05.10.2017;5;5.4;7.8;3.8;2.6;1.5;3;1.6;3.2;;;0.7;4.8;16.7;2.2;2.2;0.4;9.2;9.4;0;2;2.8;8.2;6.4
06.10.2017;0.2;0.4;7.6;4.6;1.2;4;1.4;0.6;0.6;;;12.1;1.4;6.5;2.4;2.4;1.2;4;2;0;1;1.1;1.4;2.4
07.10.2017;0;0;0;0.2;0;0;0.2;0.2;0.4;;;0.1;0;0.1;2.6;2.6;0.6;0;0;0;0.7;0;0.1;0.2
08.10.2017;2.6;2;7.4;2.6;1.4;2.2;1.6;0.6;2.4;;;1.4;0.8;3.4;3;3;2.6;3.8;3.4;0;3.9;3.8;2.6;6
09.10.2017;1;0.6;0;0.4;0.8;0.1;0;0.4;1.6;;;2.3;0.2;1.7;0.6;0.6;0.8;0.2;0.2;0;0.4;0.4;0.2;0.4
10.10.2017;0;0;0;0.2;0.2;0;0.2;0.2;0.2;0.2;;0.1;0.2;0;0;0;0.4;0.2;0.2;0;0;0;0;0.2
11.10.2017;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2017;0;0;0;0;0;0;0;0;0.2;0;;0;0;0;0;0;0.2;0;0;0;0;0;0;0
13.10.2017;0.2;0;0;0.2;0;0;0;0;0;0;;0.1;0;0;0;0;0.4;0;0;0;0;0;0;0
14.10.2017;0;0;0;0;0.2;0.1;0.2;0.2;0.2;0.1;;0.2;0;0;0;0;0.6;0;0;0;0.1;0;0;0
15.10.2017;0.2;0;0;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0;0.1;0;0;0;0;0.2;0;0.4;0;0.1;0;0;0.2
16.10.2017;0;0;0;0;0.4;0;0.2;0.2;0.4;0.2;0.2;0.1;0;0;0.2;0.2;0.2;0;0.2;0;2.6;0;0;0.2
17.10.2017;0;0;0;0.2;0.2;0;0;0;0;0.1;0.2;0;0;0;0;0;0.4;0;0.2;0;0.2;0;0;0.2
18.10.2017;0;0;0;0;0;0;0;0;0.2;0.1;0.2;0.1;0;0;0;0;0;0;0;0;0.2;0;0;0.2
19.10.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2
20.10.2017;0;0;0;0.2;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0
21.10.2017;3.2;6.8;8;6;5.8;2.7;3.2;3;5;2.7;2;2.5;2.6;5.6;2.8;2.8;2.6;2.6;2.8;0;4.2;3.8;3.8;5.2
22.10.2017;1.4;0.4;4;2.6;3.4;1.3;4.2;4.6;5.6;2.7;1.4;1.5;5.6;3.5;9.4;9.4;0.8;4;3.6;0;1;3.6;3.9;3.8
23.10.2017;1.6;3.4;6.8;4;9.2;10.8;4.4;2.2;6.2;2.6;2.8;3.7;3.2;3;0.2;0.2;0.8;4.6;2.8;0;1.9;5.5;1;3.4
24.10.2017;0;0;0;0.2;0;0;0;0;0.4;0;0;0.1;0;0;0;0;0.2;0;0;0;0;5;0;0
25.10.2017;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
26.10.2017;0.4;0;0;0;0;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
27.10.2017;0.6;0.8;2.8;1.8;2.6;2.1;3;0;0;0.1;0;0.2;1.2;6.3;1.6;1.6;1.6;0.8;3.4;0;1.5;2.3;1.7;3.4
28.10.2017;0;0;0;0;0;0.1;0;0;0.2;0;0;0.1;0;0.1;0;0;0;0;0;0;0.1;0;0;0
29.10.2017;0.8;3.4;6;5.8;5.2;6.1;6.4;4.6;5;2.1;1.6;4.4;3.2;3.2;1.2;1.2;0.2;6.2;2.4;0;2.2;2.1;2.3;4.2
30.10.2017;0;0;0;0;0;0.1;0;0;0;0.1;0.2;0;0;0;0.2;0.2;0.4;0;0;0;0;0;0;0
31.10.2017;0.2;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2017;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0;0;0;0;0;0;0
02.11.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.11.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.11.2017;1;0;0;0;0;0.1;0;0.2;0.2;0.7;0.6;0.1;0;0;0.2;0.2;0.4;0;0;0;0;0;0;0
05.11.2017;14;12.4;16.8;12.2;17;18.4;17.6;10.2;17.8;11.5;8.6;14.7;12.8;25;10.4;10.4;13.8;22.4;19.8;0;24;19.8;22.2;21.8
06.11.2017;1.2;4.2;0;5;7;12;10.2;6.8;6.6;6.7;6.8;6.9;4.8;8.8;3.6;3.6;6;7.8;5.6;0;13.2;5.6;7.5;11
07.11.2017;3;5;4.2;4.4;3.4;2.3;2.4;6.6;6;9.4;4.6;4.1;3;0.6;4.8;4.8;7.2;2.6;1.6;0;0;1.6;1.1;1.4
08.11.2017;1.4;2.4;0;1.2;2.6;1.7;3;2.6;2.4;4;1.2;2.4;1;2.8;7.4;7.4;4;5.4;0.8;0;23.7;0.8;0.8;1.6
09.11.2017;0;0;0;0;0.2;0.1;0.2;0.2;0;0;0;0;0;0.3;0;0;0;0;0;0;13.5;0;0;0
10.11.2017;1;4;2.2;4.8;1.6;1.3;3.6;1;5.6;2.7;2.2;2.1;1;1.9;1.4;1.4;0.8;1.8;2;0;14.9;2;2;2.6
11.11.2017;4.2;14.4;0;25.6;10;12.6;14.8;10.8;35.2;18.6;18;11.5;16.4;12.3;12.6;12.6;3;9.2;10;3.3;18.1;10;10;13
12.11.2017;15.2;28;12.2;37.6;53.2;31.5;8.8;21.4;55.4;36.2;18.4;26.6;28.6;27.7;36.6;36.6;20.8;22.4;23.2;17.1;36.9;23.2;23.2;23.2
13.11.2017;1.2;1.4;0;0.8;22;1.2;0;1;0;0.1;0;0.4;0.2;3.1;1;1;1.6;2;1.2;2.1;12.7;1.2;1.2;2.4
14.11.2017;0;0;0;0.2;0;0;0;0;0;0;0.4;0.1;0;0.1;0;0;1;0.2;0;0;1.3;0;0;0.2
15.11.2017;0;0;0.2;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.11.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.11.2017;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0.2;0.2;0.2
18.11.2017;0.2;0.2;0;0;0;0;0;0;0;0;0;0.1;0;0.7;0;0;0;0.2;0;0;0;0;0;0.4
19.11.2017;1.8;3.6;5;6.8;5;7;7;3.6;9;6.1;4.4;6.3;3.4;5.8;4;4;3.6;7.2;5.4;6;1;5.4;5.4;8.6
20.11.2017;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.6;0.6;0;0.2;0;0;0.3;0;0;0
21.11.2017;0;0;3.2;2;0.4;0.1;0;1.4;0.6;0.3;0.2;0.6;1;1.5;1.4;1.4;2.2;1.6;2.2;1.8;0.5;2.2;2.2;1.8
22.11.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.11.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
24.11.2017;3.2;3.8;2.4;5.2;1.6;0;0;1;3.8;2.1;1.6;0;0.4;0;1.2;1.2;0.6;0;0;0;0;0;0;0
25.11.2017;17.2;20.2;0.2;17.6;18;22.7;16.8;15.2;24;9.7;7.8;12.3;17.4;16.1;18;18;9.8;15.2;11.4;11.1;29.4;11.4;11.4;10.4
26.11.2017;0.2;1.6;0.2;1;1.2;1.5;1;0.6;1;0.6;0.8;0.6;0;1.4;0.2;0.2;1.2;0.2;1;0.3;15.1;1;1;3.8
27.11.2017;0;0;0.2;0;0.2;0;0.8;19;0.2;0;0;0.1;0;0;0.2;0.2;0;1.2;0.4;0;0.4;0.4;0.4;0
28.11.2017;8.8;13.2;9.4;10;7;1.3;1;5.6;14.8;6.3;8;0.6;3.2;1.6;8.8;8.8;4.4;3;6.4;3;6.4;6.4;6.4;3.4
29.11.2017;0.2;0.8;0;1.8;2.8;2.3;1.6;2.6;2.8;2.3;2;3.3;1.6;1.5;0.8;0.8;0.8;1.6;0.6;0.9;0.6;0.6;0.6;0.6
30.11.2017;0.4;0.6;1.8;1.4;0.8;0.4;0.2;0;1.2;1.2;1.4;0.4;0.2;1.4;0;0;0;0;0;0;0;0;0;0.2
01.12.2017;0.2;0.2;2.2;1.2;3.2;3.6;16.2;29.4;2.6;1.9;2.4;1.9;0.4;2.1;1.8;1.8;0.4;2.2;1;0.3;1;1;1;0.2
02.12.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
03.12.2017;0;0;0;0;0.2;0;0;155.6;0.4;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2017;0.2;0.2;0.4;0.2;1.2;1.6;1.2;148.2;2.6;2.2;2.6;2.9;1.2;3.2;0.8;0.8;0.2;1.8;0.2;2.1;0.2;0.2;0.2;2
05.12.2017;0;0;0;0;0.2;0;0;0.4;0.6;0;0.6;0;0.4;0;0.6;0.6;0.8;1.6;0;0;0;0;0;0
06.12.2017;0;0;0;0;0.1;0.1;0.2;0.4;0;0;0;0.2;0.2;0;0;0;0;0;0.2;0;0.2;0.2;0.2;0
07.12.2017;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0.1;0;0;0;0;0;0;0;0;0;0
08.12.2017;6.4;11;6.2;11;6.2;8.4;10;7.8;13.4;9.9;11;4.6;13.8;15.7;6.8;6.8;5.4;10.4;10.4;7.8;10.4;10.4;10.4;14.6
09.12.2017;0.2;1.6;0.8;0.2;0.6;5.2;21.2;1.6;0.8;0.1;0.2;10.7;0;4.7;0;0;0;0.2;0;0.3;0;0;0;1
10.12.2017;1.4;10.8;6.4;5.8;45.4;15.3;19.8;42.2;40.4;32.2;12.2;12.8;9.4;25.9;21.4;21.4;15.8;15;23.8;20.1;23.8;23.8;23.8;17.4
11.12.2017;10.6;16;14.4;10;9.6;11.3;8.8;7.8;16.4;9.2;8;6.3;4.4;4.5;15;15;8.2;5.4;4.4;0.6;4.4;4.4;4.4;3.4
12.12.2017;0;0.4;1.4;1.2;0.8;1.1;2.2;0.6;1.6;0.5;0.4;2.8;1;0.1;0.4;0.4;0.2;0.4;0.2;0;0.2;0.2;0.2;0.4
13.12.2017;1;0.6;6.2;1;0.6;0.9;1;1.2;2.6;1.5;1;0.4;1.4;1.2;7;7;2.4;1;2;0;2;2;2;2
14.12.2017;18.8;29.6;17.6;21.2;19.4;19.2;28.6;12.8;29.8;20.9;38.8;14.6;10.8;30.9;17.6;17.6;9.8;9.8;22;13.5;22;22;22;23.2
15.12.2017;1;1.2;0.6;1.4;1.4;19.7;9.6;9.4;8.8;3.8;2.8;15.4;5.4;13.2;18.2;18.2;13;18;4.8;2.7;4.8;4.8;4.8;3
16.12.2017;0.4;1.6;3.4;2.6;1.6;2.6;2.2;1.6;1.4;0.7;0.8;2.5;1.6;2.9;1.6;1.6;1.4;5.6;2;2.7;2;2;2;2.6
17.12.2017;0;0;0;0.4;0.4;0.7;0.4;0.2;0.6;0.1;0;0.3;0.2;1.9;0;0;0;1;0;0;0;0;0;0.2
18.12.2017;0.8;4.2;2;1.6;1.6;3.8;1.8;4.4;3.4;3.6;2.8;4.7;1;4;2.2;2.2;0;0.2;0.2;1.5;0.2;0.2;0.2;2.6
19.12.2017;1;1.6;0;1;0.6;0;0.4;0.8;3.4;0;1;0.2;1.4;0.3;2.6;2.6;0.2;3.4;1.8;1.2;1.8;1.8;1.8;3.4
20.12.2017;1;0.4;0;1;0.4;0.5;0.4;0.6;2.4;1.2;0.6;0.2;0.4;0.3;2;2;1.8;2.6;0.4;0;0.4;0.4;0.4;0.4
21.12.2017;1.6;2.2;1.4;2.2;2.4;2.5;2.4;2.8;3.2;2.3;2.8;3.4;1.8;5.2;1;1;1.8;4;1.8;1.8;1.8;1.8;1.8;3.4
22.12.2017;2.2;1.6;0;2.8;3.8;4.1;4;2.2;3;2.8;2.8;2.2;2.8;4.5;3.4;3.4;2.6;4.4;2;3;2;2;2;3
23.12.2017;0;0;0;0.2;0;0;0;0;0.2;0.1;0;0.1;0.2;0;0;0;0;0.2;0.2;0;0.2;0.2;0.2;0
24.12.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0
25.12.2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.12.2017;0.2;0.4;0.2;0.2;0;0.1;0;0;0.2;0.2;0;0;0;0.1;0.2;0.2;0;0.2;0;0;0;0;0;0
27.12.2017;0.6;1.2;4.6;2.6;3.8;7.9;2.6;3;6.2;5.4;5;5.3;3.8;4.8;3.4;3.4;2.6;5.4;5.4;3.9;5.4;5.4;5.4;6
28.12.2017;0;0.2;1.2;1.2;0.4;7.3;1.6;0;1.4;0.3;0.4;0.9;0;4.9;0;0;0.2;0.8;0.2;0.9;0.2;0.2;0.2;1.4
29.12.2017;1.8;4.4;5.6;4;1.4;2.2;3.8;34.2;6;2.7;5.2;1.2;0.2;3.5;0;0;1.8;0;1.2;2.1;1.2;1.2;1.2;2.4
30.12.2017;1.8;2.6;12;7.2;8;10.5;9;13.4;24.4;13.3;18;8.9;11.8;8.6;16;16;7.2;0;4.8;3;4.8;4.8;4.8;5.4
31.12.2017;1.4;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2018;3.6;5.4;3.4;3.4;6;6.7;6.2;3.6;8.8;5.7;3.6;3.5;5.6;6;3.4;15;3.4;0;4;3;4;4;4;4.8
02.01.2018;1.6;3.4;4;1.8;2.8;4.4;4.6;1.8;13.4;5.9;7.2;5.7;7.6;2;2.6;7.2;2.6;0;2.4;2.1;2.4;2.4;2.4;2
03.01.2018;9;10.4;7.2;12.6;7.8;7.8;6.2;5.6;16.8;24.2;33.2;6.7;16.8;14.1;5.8;18.6;5.8;12.8;9.8;7.2;9.8;9.8;9.8;7.8
04.01.2018;6.6;10.2;12.4;17.6;18.2;18.2;24;16.6;43.4;33;56.2;21.2;23.8;24.6;15.2;43;15.2;23.4;22.2;12.9;22.2;22.2;22.2;21
05.01.2018;6.2;7.6;7.2;7.2;5.4;5.4;9.6;6.6;8.8;4.2;30.8;9.8;5.6;7.1;3.4;5.2;3.4;5.4;4.2;3.9;4.2;4.2;4.2;4.2
06.01.2018;2;1.4;0;2.2;0.8;0.8;0.2;0.4;1.4;1;0.8;0.4;0.6;0;2;1.8;2;0.2;0;0;0;0;0;0
07.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0.6;0;0;0;0;0;0;0
08.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0
09.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.01.2018;0.2;0;0;0;0;0;0;0.4;0.2;0;0;0.1;0;0;0.2;0;0.2;0;0;0;0;0;0;0
11.01.2018;0.6;0.2;0;0.2;0.2;0.2;0;0.2;0.2;4;0.2;0.1;0.2;0;0;0;0;0.2;0;1.2;0;0;0;0
12.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.01.2018;0.4;0.6;1.6;0.6;1.4;1.4;1;1;4;1.7;2.4;1.7;3.4;1.2;3.4;10;3.4;3.2;4.4;2.7;4.4;4.4;4.4;3
16.01.2018;9.8;7.2;13.6;14.4;11.8;11.8;13.2;10.6;21.6;16.3;58.8;9.2;20.8;19.6;8.2;24.8;8.2;14;14.2;9.3;14.2;14.2;14.2;14.4
17.01.2018;8.4;4.4;10.2;11.2;10;10;6;7.8;17.8;11.7;43.2;7.9;9.8;10.3;4.8;10.2;4.8;9.4;7.6;6.6;7.6;7.6;7.6;8.4
18.01.2018;11.8;15.4;9.6;14.8;16;16;8.2;15.4;29.2;17.4;50.8;4.9;17;14.5;9;33.6;9;10.2;10.8;7.8;10.8;10.8;10.8;11.8
19.01.2018;4.8;7.6;0.6;7.4;8.6;4.9;8.4;6.8;9;6.6;27.6;10.5;6.2;8.9;7;6.6;7;8;5.2;4.5;5.2;5.2;5.2;7.4
20.01.2018;8.4;11.8;3.4;6.6;12;12.1;18;8.4;20.2;15.4;12.6;11.9;11.6;12;6.4;19.6;6.4;8.4;11.2;7.8;11.2;11.2;11.2;12
21.01.2018;2.6;3.4;5.2;11.2;6.8;10.5;8.6;11.4;4.6;2.2;1.8;3.4;1.6;2.9;3.2;4.2;3.2;1;0.8;3;0.8;0.8;0.8;1.2
22.01.2018;7.6;8.8;0;29;29.6;39.5;39.8;25.6;51.4;34.8;13.6;33.3;25.8;23.5;19.6;31.6;19.6;24.2;23.6;18.3;23.6;23.6;23.6;34.4
23.01.2018;0.6;1;0;1.2;0;0.1;0;0;0.6;0.1;0;0;0;0.4;1.2;0;1.2;0;0.8;0.6;0.8;0.8;0.8;1.6
24.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0.6;0;0;0;0;0;0;0
25.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0.4;0;0;0;0;0;0;0
26.01.2018;5.8;4.8;1.2;0.4;0;0;0;0.2;0.6;0.1;0.2;0;0.4;0;0.4;0.8;0.4;0;0;0;0;0;0;0
27.01.2018;3.2;2.8;0;1.4;0.6;0.2;0;0;1;0.5;0;0;0;0;0.2;0.4;0.2;0;0;0;0;0;0;0
28.01.2018;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0
29.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
